pseudo_building_id,area,poi_count,bus_stops,pseudo_census_zone_id,census_population,pseudo_grid_id,grid_mobile_users,location_between_ring_road
1,8039.84619,63,61,1,121972,1,20398,2
2,510.223023,114,10,2,168154,2,25574,2
3,366.395508,11,8,3,188699,3,5182,5
4,16852.14844,24,27,4,102303,4,15548,4
5,5303.581049,8,30,5,199899,5,5511,4
6,39663.28346,152,17,6,154037,6,35669,4
7,4640.367189,27,14,4,102303,7,5049,4
8,8705.772954,87,27,7,137362,8,9357,2
9,18752.96777,116,44,8,90002,9,4779,5
10,34870.01039,124,31,9,131246,10,29841,3
11,7112.93628,36,18,8,90002,11,3538,5
12,2602.343628,37,16,10,144787,12,4143,8
13,8085.916992,2,4,5,199899,13,618,4
14,3746.81067,56,22,10,144787,14,23306,8
15,9868.53735,99,24,11,230622,15,10696,3
16,927.929444,11,4,12,91918,16,6327,5
17,13591.14037,110,33,13,138468,17,5964,4
18,22790.3335,9,49,4,102303,18,3124,4
19,2072.691648,57,15,10,144787,19,8987,8
20,1229.338624,1,6,3,188699,20,1451,5
21,4598.273436,1,3,5,199899,21,1982,4
22,91.944945,10,5,13,138468,22,252,4
23,212.008302,14,21,4,102303,23,3710,4
24,3200.34009,81,27,10,144787,24,13639,8
25,75.359376,1,0,5,199899,25,2141,4
26,215.314818,68,27,7,137362,26,31866,2
27,547.90686,119,36,14,133168,27,13932,3
28,7830.83496,127,34,9,131246,28,30111,3
29,1444.360473,1,5,1,121972,29,9152,2
30,1934.583618,51,21,13,138468,30,11836,4
31,5761.284666,11,4,15,49415,31,4673,7
32,637.192996,53,43,16,144507,32,17279,3
33,901.929198,153,5,2,168154,33,21118,2
34,699.761474,1,59,1,121972,1,20398,2
35,5015.648436,61,56,11,230622,34,5466,3
36,131.999756,43,23,10,144787,35,33960,8
37,3259.623048,62,26,17,112505,36,13788,2
38,7530.720702,21,17,5,199899,37,9053,4
39,5553.837888,40,2,12,91918,38,4026,5
40,234.24756,51,18,18,101806,39,15006,4
41,9037.347648,53,2,5,199899,40,7529,4
42,88689.53176,36,19,17,112505,41,3895,2
43,613.836792,4,15,19,82662,42,1094,4
44,3611.341188,52,54,19,82662,43,2846,4
45,3438.478272,5,13,3,188699,44,1880,5
46,339.406128,3,8,5,199899,45,928,4
47,740.824584,19,18,19,82662,46,12905,4
48,501.879394,110,32,14,133168,47,14783,3
49,289.285401,53,8,13,138468,48,26442,4
50,18936.88988,107,62,14,133168,49,11496,3
51,168.634278,74,16,13,138468,50,20397,4
52,5180.392092,88,24,13,138468,51,15164,4
53,982.465211,28,15,1,121972,52,15344,2
54,714.269532,1,2,3,188699,53,2635,5
55,10648.9292,69,38,14,133168,54,10173,3
56,6158.885004,32,6,15,49415,55,1889,7
57,13057.06201,48,19,13,138468,56,9406,4
58,1934.174438,25,20,10,144787,57,16458,8
59,258.899049,1,8,18,101806,58,18930,4
60,580.88806,74,22,10,144787,59,7825,8
61,2529.310914,2,0,5,199899,60,3893,4
62,784.788574,3,9,19,82662,61,7862,4
63,7456.046265,6,11,20,98291,62,7355,4
64,70.454589,65,6,21,61183,63,9355,4
65,418.827392,3,7,19,82662,64,7769,4
66,520.137816,16,7,4,102303,65,6525,4
67,1711.575072,48,71,19,82662,66,14387,4
68,2175.534666,2,7,18,101806,67,4337,4
69,5005.89258,1,6,5,199899,68,1043,4
70,327.376464,1,0,15,49415,69,1402,7
71,4407.672366,43,14,6,154037,70,6001,4
72,10135.14478,64,26,14,133168,71,21895,3
73,1797.054321,7,3,19,82662,72,1852,4
74,4534.75158,95,28,2,168154,73,7894,2
75,921.340575,1,10,22,13334,74,165,5
76,429.28125,13,5,5,199899,75,3788,4
77,432.77417,10,18,4,102303,76,2461,4
78,23489.00903,1,46,8,90002,77,20276,5
79,280.461424,48,27,17,112505,78,19233,2
80,21111.09594,100,18,7,137362,79,9537,2
81,513.164185,27,21,8,90002,80,3499,5
82,13446.76244,161,17,6,154037,81,25934,4
83,1980.653564,10,12,13,138468,82,2161,4
84,7773.36621,1,7,4,102303,83,2788,4
85,1033.328979,29,27,10,144787,84,9364,8
86,7073.751708,21,0,19,82662,85,1925,4
87,46220.65135,142,14,2,168154,86,25943,2
88,650.535522,141,19,6,154037,87,2894,4
89,4709.336424,74,30,16,144507,88,15680,3
90,25823.63894,113,9,23,129432,89,15470,2
91,1627.987062,18,0,24,35030,90,6045,7
92,1145.932618,6,9,19,82662,61,7862,4
93,10775.23022,76,37,18,101806,91,17492,4
94,2374.400388,126,22,7,137362,92,33280,2
95,1303.579346,1,0,5,199899,93,3131,4
96,10055.2749,48,13,4,102303,94,6549,4
97,159.018066,34,21,9,131246,95,10740,3
98,46964.36866,146,26,2,168154,96,19594,2
99,7351.569576,2,3,5,199899,97,731,4
100,18548.89673,2,26,9,131246,98,5999,3
